100.086	2.16	36
100.11	2.535	39
100.137	2.94	42
100.169	3.375	45
100.205	3.84	48
100.246	4.335	51
100.292	4.86	54
100.343	5.415	57
100.4	6	60
100.463	6.615	63
100.532	7.26	66
100.608	7.935	69
100.691	8.64	72
100.781	9.375	75
100.879	10.14	78
100.984	10.935	81
101.098	11.76	84
101.219	12.615	87
101.35	13.5	90
101.49	14.415	93
101.638	15.36	96
101.797	16.335	99
101.965	17.34	102
102.144	18.375	105
102.333	19.44	108
102.533	20.535	111
102.744	21.66	114
102.966	22.815	117
103.2	24	120
103.446	25.215	123
103.704	26.46	126
103.975	27.735	129
104.259	29.04	132
104.556	30.375	135
104.867	31.74	138
105.191	33.135	141
105.53	34.56	144
105.882	36.015	147
106.25	37.5	150
106.632	39	150
107.03	40.5	150
107.442	42	150
107.87	43.5	150
108.312	45	150
108.77	46.5	150
109.242	48	150
109.73	49.5	150
110.232	51	150
110.75	52.5	150
111.282	54	150
111.83	55.5	150
112.392	57	150
112.97	58.5	150
113.562	60	150
114.17	61.5	150
114.792	63	150
115.43	64.4999	150
116.082	65.9999	150
116.75	67.4999	150
117.432	68.9999	150
118.13	70.4999	150
118.842	71.9999	150
119.57	73.4999	150
120.312	74.9999	150
121.07	76.4999	150
121.842	77.9999	150
122.63	79.4999	150
123.432	80.9999	150
124.25	82.4999	150
125.082	83.9999	150
125.93	85.4999	150
126.792	86.9999	150
127.67	88.4999	150
128.562	89.9999	150
129.47	91.4999	150
130.392	92.9999	150
131.33	94.4999	150
132.282	95.9999	150
133.25	97.4999	150
134.232	98.9999	150
135.23	100.5	150
136.242	102	150
137.27	103.5	150
138.312	105	150
139.37	106.5	150
140.442	108	150
141.53	109.5	150
142.632	111	150
143.75	112.5	150
144.882	113.985	147
146.03	115.44	144
147.191	116.865	141
148.367	118.26	138
149.556	119.625	135
150.759	120.96	132
151.975	122.265	129
153.204	123.54	126
154.446	124.785	123
155.7	126	120
156.966	127.185	117
158.244	128.34	114
159.533	129.465	111
160.833	130.56	108
162.144	131.625	105
163.465	132.66	102
164.797	133.665	99.0002
166.138	134.64	96.0002
167.489	135.585	93.0002
168.85	136.5	90.0002
170.219	137.385	87.0002
171.598	138.24	84.0002
172.984	139.065	81.0002
174.379	139.86	78.0002
175.781	140.625	75.0003
177.191	141.36	72.0003
178.608	142.065	69.0003
180.032	142.74	66.0003
181.463	143.385	63.0003
182.9	144	60.0003
184.343	144.585	57.0003
185.791	145.14	54.0003
187.246	145.665	51.0003
188.705	146.16	48.0003
190.169	146.625	45.0003
191.637	147.06	42.0003
193.11	147.465	39.0003
